vuosi,kuukausi,kuukausi_teksti,keskinopeus_maar,keskinopeus_kok,keskinopeus_kemi,energia,kapasiteetti
2010,1,tammi,2.7833,2.9597,2.849,24,0.196
2010,2,helmi,2.8267,2.5707,2.0604,20,0.196
2010,3,maalis,3.3828,2.8638,2.8328,27,0.196
2010,4,huhti,2.94,2.7302,2.6733,20,0.196
2010,5,touko,3.031,2.9678,2.3169,17,0.196
2010,6,kesä,3.37,3.358,3.2395,20,0.196
2010,7,heinä,3.795,3.3552,3.281,23,0.196
2010,8,elo,2.9621,2.4326,2.6143,17,0.196
2010,9,syys,3.5471,2.1557,2.4017,23,0.196
2010,10,loka,4.3178,3.6508,4.2031,47,0.196
2010,11,marras,3.6383,2.2014,2.124,29,0.196
2010,12,joulu,3.4464,1.5617,2.2835,27,0.196
2011,1,tammi,3.9891,2.3105,2.0301,36,0.198
2011,2,helmi,3.5684,1.8627,2.5227,29,0.198
2011,3,maalis,4.4485,3.866,4.2634,63,0.198
2011,4,huhti,3.4199,2.6711,3.2881,34,0.198
2011,5,touko,3.6095,3.5419,3.1737,40,0.198
2011,6,kesä,2.7636,3.1678,3.211,29,0.198
2011,7,heinä,3.0642,2.6023,2.7841,20,0.198
2011,8,elo,3.1501,2.4585,2.5245,26,0.198
2011,9,syys,3.7382,3.2039,2.8294,42,0.198
2011,10,loka,3.8966,3.3648,3.4015,52,0.198
2011,11,marras,3.5115,3.396,3.7757,50,0.198
2011,12,joulu,5.1165,4.1841,3.3759,61,0.198
2012,1,tammi,3.5343,3.0058,1.8978,39,0.257
2012,2,helmi,3.8006,3.5817,2.9517,43,0.257
2012,3,maalis,4.1044,3.463,3.2437,52,0.257
2012,4,huhti,3.6239,3.1595,2.7821,40,0.257
2012,5,touko,3.7298,2.9381,3.6531,45,0.257
2012,6,kesä,3.1004,2.4293,2.8456,26,0.257
2012,7,heinä,3.1629,2.6437,3.0382,30,0.257
2012,8,elo,2.8914,1.9751,2.4397,26,0.257
2012,9,syys,4.0791,3.2421,3.0031,49,0.257
2012,10,loka,3.5005,2.2508,2.546,38,0.257
2012,11,marras,4.4295,3.2857,2.9167,61,0.257
2012,12,joulu,3.1641,2.3837,1.9823,45,0.257
2013,1,tammi,3.5442,2.748,2.6825,45,0.477
2013,2,helmi,2.1945,3.0661,2.5789,46,0.477
2013,3,maalis,2.9341,2.9041,2.8172,63,0.477
2013,4,huhti,3.7074,3.365,3.1021,59,0.477
2013,5,touko,3.1886,3.0274,2.9091,50,0.477
2013,6,kesä,3.1261,2.8915,2.6803,36,0.477
2013,7,heinä,3.8022,3.3699,3.1119,56,0.477
2013,8,elo,2.841,2.7595,2.7983,44,0.477
2013,9,syys,2.5912,2.7404,2.7626,60,0.477
2013,10,loka,3.4019,3.2331,3.0993,83,0.477
2013,11,marras,3.8281,3.4964,3.0457,95,0.477
2013,12,joulu,5.1434,4.5247,3.1749,138,0.477
2014,1,tammi,3.7706,3.1012,2.5036,91,0.627
2014,2,helmi,4.5125,3.9752,3.2631,80,0.627
2014,3,maalis,3.9129,3.9594,3.8056,107,0.627
2014,4,huhti,3.5397,3.6248,3.8651,93,0.627
2014,5,touko,3.3659,3.6525,2.7476,78,0.627
2014,6,kesä,3.5446,3.3494,2.5841,52,0.627
2014,7,heinä,2.6751,2.3891,2.2559,37,0.627
2014,8,elo,3.8938,2.7864,2.6285,72,0.627
2014,9,syys,2.6304,2.9781,3.1029,99,0.627
2014,10,loka,4.0344,3.4425,2.7925,134,0.627
2014,11,marras,3.1856,2.9327,2.6036,93,0.627
2014,12,joulu,4.0074,3.6474,3.0878,171,0.627
2015,1,tammi,5.2519,3.8729,2.2598,179,1.005
2015,2,helmi,4.3869,4.7354,4.5001,216,1.005
2015,3,maalis,3.7528,3.9228,4.2339,218,1.005
2015,4,huhti,4.0147,3.5316,2.9551,157,1.005
2015,5,touko,4.1102,3.9355,3.4984,171,1.005
2015,6,kesä,3.3442,3.7985,3.6747,165,1.005
2015,7,heinä,3.0281,2.8464,2.1849,100,1.005
2015,8,elo,2.6327,2.4411,2.3837,107,1.005
2015,9,syys,3.0611,2.8474,2.6925,174,1.005
2015,10,loka,2.4914,2.6571,2.9948,235,1.005
2015,11,marras,3.7899,3.7351,3.0532,270,1.005
2015,12,joulu,4.7203,3.8378,3.075,337,1.005
2016,1,tammi,3.033,2.8487,2.0693,221,1.533
2016,2,helmi,3.462,3.52,2.7909,235,1.533
2016,3,maalis,3.1427,3.1682,3.3015,216,1.533
2016,4,huhti,3.4383,3.1547,2.296,198,1.533
2016,5,touko,3.1754,2.9452,2.5823,150,1.533
2016,6,kesä,3.4232,3.3001,3.0862,201,1.533
2016,7,heinä,3.4274,2.662,2.3277,144,1.533
2016,8,elo,3.8571,3.333,3.017,293,1.533
2016,9,syys,2.9724,2.6326,2.6561,238,1.533
2016,10,loka,3.3753,2.4081,2.2149,250,1.533
2016,11,marras,4.2451,3.5324,2.531,407,1.533
2016,12,joulu,3.8922,3.4224,3.1496,516,1.533
2017,1,tammi,3.8913,3.9,3.5242,543,2.044
2017,2,helmi,3.4438,2.752,2.411,292,2.044
2017,3,maalis,3.8345,3.5519,3.3884,487,2.044
2017,4,huhti,3.7657,3.3714,2.6465,357,2.044
2017,5,touko,3.2806,3.554,3.2664,323,2.044
2017,6,kesä,3.5171,3.3403,2.9719,278,2.044
2017,7,heinä,3.1589,2.8168,2.533,236,2.044
2017,8,elo,3.564,3.286,2.9618,408,2.044
2017,9,syys,2.689,2.3438,2.2122,278,2.044
2017,10,loka,3.5801,2.7327,2.3653,433,2.044
2017,11,marras,3.475,3.2786,2.8358,593,2.044
2017,12,joulu,4.0344,3.3484,2.4683,567,2.044
2018,1,tammi,3.5234,2.6707,2.3826,497,2.041
2018,2,helmi,2.6625,2.5723,2.3,458,2.041
